"doy","fit","se","Site","validName"
69,0.201565437271854,0.187594978687007,"Demi","Nadata gibbosa"
70,0.20584855545261,0.188601957960329,"Demi","Nadata gibbosa"
71,0.210221611190965,0.189584528424904,"Demi","Nadata gibbosa"
72,0.214685371490176,0.190542125310403,"Demi","Nadata gibbosa"
73,0.219240548295124,0.191474282446682,"Demi","Nadata gibbosa"
74,0.223887794462081,0.192380641342538,"Demi","Nadata gibbosa"
75,0.228627699612293,0.19326096048401,"Demi","Nadata gibbosa"
76,0.23346078587208,0.194115124806409,"Demi","Nadata gibbosa"
77,0.238387503502745,0.194943155285546,"Demi","Nadata gibbosa"
78,0.24340822642408,0.195745218584103,"Demi","Nadata gibbosa"
79,0.248523247635889,0.19652163667868,"Demi","Nadata gibbosa"
80,0.253732774542532,0.19727289638166,"Demi","Nadata gibbosa"
81,0.259036924186139,0.197999658659869,"Demi","Nadata gibbosa"
82,0.264435718394812,0.198702767638927,"Demi","Nadata gibbosa"
83,0.269929078852784,0.199383259168389,"Demi","Nadata gibbosa"
84,0.275516822100268,0.200042368808388,"Demi","Nadata gibbosa"
85,0.281198654471402,0.200681539083645,"Demi","Nadata gibbosa"
86,0.286974166979494,0.201302425835733,"Demi","Nadata gibbosa"
87,0.292842830159494,0.201906903489605,"Demi","Nadata gibbosa"
88,0.298803988878458,0.202497069036158,"Demi","Nadata gibbosa"
89,0.304856857125518,0.203075244519353,"Demi","Nadata gibbosa"
90,0.311000512793724,0.203643977804875,"Demi","Nadata gibbosa"
91,0.317233892466927,0.204206041398118,"Demi","Nadata gibbosa"
92,0.323555786225709,0.204764429073216,"Demi","Nadata gibbosa"
93,0.329964832487196,0.205322350072815,"Demi","Nadata gibbosa"
94,0.33645951289442,0.205883220641236,"Demi","Nadata gibbosa"
95,0.343038147271745,0.206450652662523,"Demi","Nadata gibbosa"
96,0.349698888663666,0.20702843919077,"Demi","Nadata gibbosa"
97,0.35643971847513,0.207620536683772,"Demi","Nadata gibbosa"
98,0.363258441732307,0.208231043783518,"Demi","Nadata gibbosa"
99,0.370152682483522,0.208864176528814,"Demi","Nadata gibbosa"
100,0.377119879360801,0.209524239936827,"Demi","Nadata gibbosa"
101,0.384157281323226,0.210215595951639,"Demi","Nadata gibbosa"
102,0.391261943603939,0.210942627828494,"Demi","Nadata gibbosa"
103,0.398430723883326,0.211709701101468,"Demi","Nadata gibbosa"
104,0.40566027871146,0.212521121368214,"Demi","Nadata gibbosa"
105,0.412947060203458,0.213381089216225,"Demi","Nadata gibbosa"
106,0.420287313031875,0.214293652707966,"Demi","Nadata gibbosa"
107,0.427677071740667,0.215262657934095,"Demi","Nadata gibbosa"
108,0.435112158405624,0.216291698231182,"Demi","Nadata gibbosa"
