"doy","fit","se","Site","validName"
69,0.118504243717974,0.166371269662333,"Prcr","Panopoda repanda"
70,0.128197733154849,0.175144163412744,"Prcr","Panopoda repanda"
71,0.138674517964768,0.184279510982479,"Prcr","Panopoda repanda"
72,0.149986695329674,0.193776357948768,"Prcr","Panopoda repanda"
73,0.162187894689035,0.203632454124473,"Prcr","Panopoda repanda"
74,0.175332990876714,0.213844369104893,"Prcr","Panopoda repanda"
75,0.189477753476402,0.224407672511884,"Prcr","Panopoda repanda"
76,0.204678426595699,0.2353171862177,"Prcr","Panopoda repanda"
77,0.220991233513324,0.246567314288929,"Prcr","Panopoda repanda"
78,0.238471801089259,0.258152453985747,"Prcr","Panopoda repanda"
79,0.257174499470599,0.270067487712124,"Prcr","Panopoda repanda"
80,0.277151693503272,0.282308351178907,"Prcr","Panopoda repanda"
81,0.298452903396462,0.294872667088061,"Prcr","Panopoda repanda"
82,0.321123873605065,0.307760426313571,"Prcr","Panopoda repanda"
83,0.345205550614003,0.320974689894553,"Prcr","Panopoda repanda"
84,0.370732972339472,0.334522275383816,"Prcr","Panopoda repanda"
85,0.39773407421115,0.3484143806502,"Prcr","Panopoda repanda"
86,0.426228419662069,0.362667087835456,"Prcr","Panopoda repanda"
87,0.456225865713772,0.377301680860773,"Prcr","Panopoda repanda"
88,0.487725177575018,0.39234470303752,"Prcr","Panopoda repanda"
89,0.520712609629393,0.407827678606666,"Prcr","Panopoda repanda"
90,0.555160473810849,0.423786425188013,"Prcr","Panopoda repanda"
91,0.591025720079033,0.440259894824022,"Prcr","Panopoda repanda"
92,0.628248557412518,0.457288500755542,"Prcr","Panopoda repanda"
93,0.666751147323746,0.474911915618808,"Prcr","Panopoda repanda"
94,0.706436405232478,0.49316636352521,"Prcr","Panopoda repanda"
95,0.747186947967434,0.512081471151063,"Prcr","Panopoda repanda"
96,0.788864228036937,0.531676787768757,"Prcr","Panopoda repanda"
97,0.831307896948333,0.551958126296782,"Prcr","Panopoda repanda"
98,0.874335440587363,0.572913911790376,"Prcr","Panopoda repanda"
99,0.917742129318785,0.594511745764573,"Prcr","Panopoda repanda"
100,0.961301323874438,0.616695401225766,"Prcr","Panopoda repanda"
101,1.004765175107,0.639382453258884,"Prcr","Panopoda repanda"
102,1.04786575118719,0.662462724686463,"Prcr","Panopoda repanda"
103,1.09031661972478,0.685797688772895,"Prcr","Panopoda repanda"
104,1.13181490456195,0.70922092541123,"Prcr","Panopoda repanda"
105,1.17204382763848,0.732539678131127,"Prcr","Panopoda repanda"
106,1.21067573544405,0.755537510444583,"Prcr","Panopoda repanda"
107,1.24737559730507,0.777978014238968,"Prcr","Panopoda repanda"
108,1.28180494933013,0.799609481635217,"Prcr","Panopoda repanda"
109,1.31362624356388,0.820170415392516,"Prcr","Panopoda repanda"
110,1.34250754715396,0.839395721313964,"Prcr","Panopoda repanda"
111,1.36812752157108,0.85702339867557,"Prcr","Panopoda repanda"
112,1.39018059764742,0.872801521052538,"Prcr","Panopoda repanda"
113,1.40838224897282,0.886495279972059,"Prcr","Panopoda repanda"
114,1.42247425459357,0.897893847963463,"Prcr","Panopoda repanda"
115,1.43222983258847,0.90681680663376,"Prcr","Panopoda repanda"
116,1.43745851951683,0.913119880596736,"Prcr","Panopoda repanda"
117,1.43801066746821,0.916699720934988,"Prcr","Panopoda repanda"
118,1.43378143093261,0.917497494068158,"Prcr","Panopoda repanda"
119,1.42471412029054,0.91550105519407,"Prcr","Panopoda repanda"
120,1.41080280759414,0.910745521584452,"Prcr","Panopoda repanda"
121,1.39209408351557,0.903312111499888,"Prcr","Panopoda repanda"
122,1.36868788174483,0.89332518051763,"Prcr","Panopoda repanda"
123,1.34073730840306,0.880947469130638,"Prcr","Panopoda repanda"
124,1.30844743869078,0.866373672899298,"Prcr","Panopoda repanda"
125,1.27207307031943,0.849822556697581,"Prcr","Panopoda repanda"
126,1.23191545242187,0.83152795251251,"Prcr","Panopoda repanda"
127,1.18831803860906,0.811729097189676,"Prcr","Panopoda repanda"
128,1.14166134254046,0.790660869934957,"Prcr","Panopoda repanda"
129,1.09235700265736,0.768544563230173,"Prcr","Panopoda repanda"
130,1.04084118843839,0.74557984724748,"Prcr","Panopoda repanda"
